task,model,tier,provider,example_id,repeat,cost_usd,latency_seconds,tokens_in,tokens_out,rouge_l,judge_score,accuracy,exact_match,f1,pass_at_1
summarization,claude-opus,frontier,anthropic,summ_25,0,0.037184999999999996,4.525655269622803,1764,143,0.24427480916030533,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_25,1,0.037485,8.399524450302124,1764,147,0.23357664233576642,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_26,0,0.034635,4.099767208099365,1424,177,0.2787878787878788,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_26,1,0.034784999999999996,4.552720785140991,1424,179,0.22085889570552147,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_27,0,0.02001,6.91813325881958,689,129,0.2631578947368421,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_27,1,0.01746,3.1210100650787354,689,95,0.21739130434782608,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_28,0,0.035655,6.964115142822266,1517,172,0.21839080459770116,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_28,1,0.036405,3.59152889251709,1517,182,0.2011834319526627,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_29,0,0.039044999999999996,3.900667905807495,1773,166,0.07272727272727272,5.0,,,,
summarization,claude-opus,frontier,anthropic,summ_29,1,0.037845000000000004,3.193180561065674,1773,150,0.08849557522123895,4.0,,,,
summarization,claude-sonnet,mid,anthropic,summ_0,0,0.004914,3.0870723724365234,748,178,0.13675213675213677,5.0,,,,
summarization,claude-sonnet,mid,anthropic,summ_0,1,0.004599,2.764681816101074,748,157,0.18018018018018017,5.0,,,,
summarization,claude-sonnet,mid,anthropic,summ_1,0,0.007698,3.5822153091430664,1761,161,0.1935483870967742,5.0,,,,
summarization,claude-sonnet,mid,anthropic,summ_1,1,0.008508,4.198113441467285,1761,215,0.22377622377622378,5.0,,,,
summarization,claude-sonnet,mid,anthropic,summ_2,0,0.004638,2.7776408195495605,746,160,0.3008849557522124,5.0,,,,
summarization,claude-sonnet,mid,anthropic,summ_2,1,0.004383,2.768845558166504,746,143,0.3428571428571428,5.0,,,,
summarization,claude-sonnet,mid,anthropic,summ_3,0,0.005294999999999999,3.533665895462036,940,165,0.18867924528301885,5.0,,,,
summarization,claude-sonnet,mid,anthropic,summ_3,1,0.00546,3.1468279361724854,940,176,0.17699115044247787,0.0,,,,
